@relation iris

@attribute sepallength REAL
@attribute sepalwidth REAL
@attribute petallength REAL
@attribute petalwidth REAL
@attribute class {Iris-setosa,Iris-versicolor,Iris-virginica}

@data
5.3,2.4,1.2,0.2,Iris-setosa
5.4,3.7,1.8,0.1,Iris-setosa
4.9,2.4,1.2,0.4,Iris-setosa
4.3,2.7,1.6,0.4,Iris-setosa
4.6,3.5,1.7,0.1,Iris-setosa
5.5,3.8,1.3,0.2,Iris-setosa
5.7,3.0,1.1,0.1,Iris-setosa
5.6,3.6,1.7,0.5,Iris-setosa
5.1,4.3,1.3,0.4,Iris-setosa
5.5,3.6,1.8,0.4,Iris-setosa
5.4,2.4,1.2,0.2,Iris-setosa
4.4,2.8,1.1,0.2,Iris-setosa
5.3,3.1,1.3,0.2,Iris-setosa
4.7,4.3,1.6,0.4,Iris-setosa
4.6,3.8,1.1,0.3,Iris-setosa
5.8,3.6,1.5,0.4,Iris-setosa
5.6,3.9,1.2,0.1,Iris-setosa
4.8,2.9,1.2,0.6,Iris-setosa
5.6,3.0,1.6,0.3,Iris-setosa
5.7,3.3,1.2,0.2,Iris-setosa
5.1,2.9,1.5,0.5,Iris-setosa
4.9,2.8,1.9,0.4,Iris-setosa
4.4,2.4,1.1,0.4,Iris-setosa
5.5,3.2,1.1,0.3,Iris-setosa
5.8,3.4,1.9,0.5,Iris-setosa
4.3,3.8,1.6,0.4,Iris-setosa
4.7,3.6,1.1,0.3,Iris-setosa
5.0,4.3,1.8,0.2,Iris-setosa
5.1,2.7,1.8,0.5,Iris-setosa
4.7,3.6,1.5,0.2,Iris-setosa
5.4,3.4,1.7,0.4,Iris-setosa
4.3,3.0,1.0,0.6,Iris-setosa
5.6,4.0,1.3,0.1,Iris-setosa
5.6,4.3,1.1,0.3,Iris-setosa
4.4,3.9,1.7,0.2,Iris-setosa
5.0,3.5,1.2,0.5,Iris-setosa
4.9,2.7,1.5,0.5,Iris-setosa
4.6,3.0,1.9,0.4,Iris-setosa
5.0,3.4,1.1,0.2,Iris-setosa
4.8,3.5,1.2,0.2,Iris-setosa
4.4,3.6,1.2,0.6,Iris-setosa
5.6,2.4,1.2,0.4,Iris-setosa
4.6,2.6,1.8,0.4,Iris-setosa
5.0,3.9,1.7,0.2,Iris-setosa
4.4,3.2,1.4,0.3,Iris-setosa
5.4,3.7,1.9,0.1,Iris-setosa
4.9,3.0,1.8,0.2,Iris-setosa
4.6,3.2,1.4,0.2,Iris-setosa
4.7,4.2,1.4,0.5,Iris-setosa
5.1,2.4,1.9,0.5,Iris-setosa
6.9,3.3,4.8,1.1,Iris-versicolor
5.9,2.3,3.8,1.0,Iris-versicolor
5.7,3.4,3.6,1.6,Iris-versicolor
5.9,2.6,5.0,1.8,Iris-versicolor
6.1,3.0,3.3,1.2,Iris-versicolor
6.9,2.8,4.1,1.6,Iris-versicolor
5.0,2.8,4.1,1.7,Iris-versicolor
5.2,3.3,3.2,1.1,Iris-versicolor
6.1,2.9,3.5,1.1,Iris-versicolor
6.8,2.3,4.2,1.5,Iris-versicolor
5.8,2.8,4.1,1.7,Iris-versicolor
5.3,3.0,3.5,1.3,Iris-versicolor
6.3,2.4,3.7,1.6,Iris-versicolor
5.1,2.6,5.1,1.8,Iris-versicolor
5.1,2.3,3.6,1.7,Iris-versicolor
6.7,3.2,3.8,1.1,Iris-versicolor
6.7,3.0,4.3,1.8,Iris-versicolor
6.3,2.0,4.7,1.2,Iris-versicolor
6.3,3.3,3.3,1.1,Iris-versicolor
5.1,2.8,3.6,1.5,Iris-versicolor
6.4,2.3,4.3,1.2,Iris-versicolor
5.9,3.3,4.8,1.1,Iris-versicolor
5.8,2.4,3.0,1.6,Iris-versicolor
6.2,2.4,4.6,1.4,Iris-versicolor
5.8,2.0,3.2,1.7,Iris-versicolor
6.8,2.8,4.8,1.5,Iris-versicolor
5.2,2.2,3.6,1.7,Iris-versicolor
6.6,3.2,4.9,1.2,Iris-versicolor
5.4,2.1,4.6,1.7,Iris-versicolor
5.8,2.9,3.3,1.7,Iris-versicolor
6.7,3.4,4.7,1.7,Iris-versicolor
5.0,3.0,3.7,1.7,Iris-versicolor
6.6,3.2,4.7,1.2,Iris-versicolor
6.6,2.2,4.8,1.7,Iris-versicolor
5.4,3.1,4.0,1.2,Iris-versicolor
6.6,2.3,3.0,1.2,Iris-versicolor
5.6,3.2,5.0,1.2,Iris-versicolor
6.2,2.6,5.1,1.4,Iris-versicolor
6.9,2.2,5.0,1.1,Iris-versicolor
6.9,2.4,3.2,1.3,Iris-versicolor
6.4,2.4,4.3,1.4,Iris-versicolor
5.7,2.8,3.5,1.6,Iris-versicolor
4.9,3.3,4.1,1.6,Iris-versicolor
6.5,2.9,3.8,1.1,Iris-versicolor
6.3,2.5,3.7,1.7,Iris-versicolor
6.4,2.4,3.6,1.3,Iris-versicolor
5.7,2.4,3.3,1.3,Iris-versicolor
6.9,2.9,4.9,1.5,Iris-versicolor
5.5,2.8,3.0,1.2,Iris-versicolor
5.8,2.8,4.4,1.4,Iris-versicolor
6.2,2.5,5.6,2.4,Iris-virginica
7.3,2.5,4.7,2.0,Iris-virginica
6.8,2.7,6.5,2.2,Iris-virginica
6.9,2.6,5.0,1.4,Iris-virginica
5.6,3.0,6.5,1.5,Iris-virginica
6.1,3.2,5.0,2.2,Iris-virginica
6.4,2.6,6.1,1.4,Iris-virginica
7.2,3.4,4.8,1.9,Iris-virginica
5.4,3.7,5.7,1.5,Iris-virginica
5.6,3.6,5.6,2.3,Iris-virginica
6.9,3.8,5.9,2.4,Iris-virginica
7.6,3.2,6.2,2.0,Iris-virginica
7.4,3.1,6.7,2.2,Iris-virginica
6.3,2.6,5.1,2.1,Iris-virginica
7.2,3.0,6.0,1.7,Iris-virginica
5.1,2.7,5.2,1.8,Iris-virginica
6.5,2.4,5.1,2.2,Iris-virginica
7.0,2.3,5.5,2.0,Iris-virginica
6.1,2.5,5.5,2.4,Iris-virginica
6.7,3.3,6.6,2.2,Iris-virginica
6.0,2.2,5.3,2.2,Iris-virginica
7.5,3.7,5.5,2.2,Iris-virginica
6.5,3.2,5.0,1.6,Iris-virginica
6.2,2.2,5.3,2.1,Iris-virginica
6.1,2.5,5.6,1.5,Iris-virginica
6.8,2.2,5.4,2.0,Iris-virginica
5.0,3.2,4.8,1.9,Iris-virginica
5.1,2.8,5.0,1.8,Iris-virginica
7.2,2.8,6.3,2.3,Iris-virginica
5.7,2.3,4.5,2.0,Iris-virginica
7.9,2.8,6.1,2.3,Iris-virginica
6.9,3.4,6.8,1.6,Iris-virginica
5.0,2.4,4.8,2.1,Iris-virginica
6.6,2.5,6.2,2.2,Iris-virginica
5.4,3.2,6.3,1.5,Iris-virginica
7.4,3.7,4.8,1.4,Iris-virginica
5.8,3.3,6.8,1.8,Iris-virginica
7.0,2.3,6.2,2.1,Iris-virginica
5.2,3.4,6.5,2.1,Iris-virginica
5.3,3.8,6.4,1.8,Iris-virginica
6.2,2.8,5.7,1.8,Iris-virginica
7.4,3.5,4.8,2.5,Iris-virginica
6.8,3.5,6.2,1.9,Iris-virginica
7.1,3.7,5.1,2.3,Iris-virginica
6.5,3.0,5.5,2.2,Iris-virginica
5.7,3.6,6.5,1.5,Iris-virginica
7.5,2.6,5.6,2.1,Iris-virginica
6.0,2.2,6.5,1.6,Iris-virginica
5.5,3.5,5.3,2.4,Iris-virginica
7.0,2.6,4.5,2.4,Iris-virginica
